,node_size,efficiency_metric,max_executions,overhead_ratio_cpu,overhead_ratio_mem,util_ratio_cpu,util_ratio_mem
0,m5.24xlarge,3.56,41,1.01,0.17,0.86,1.0
1,m5.16xlarge,3.41,27,1.01,0.18,0.85,1.0
2,m5.12xlarge,3.27,20,1.01,0.19,0.84,0.99
3,m5.8xlarge,3.02,13,1.01,0.22,0.82,0.99
4,m5.4xlarge,2.63,6,1.02,0.24,0.76,0.93
5,m5.2xlarge,2.45,3,1.03,0.28,0.76,0.96
6,c5.24xlarge,2.27,20,1.02,0.19,0.42,0.99
7,c5.18xlarge,2.05,14,1.02,0.21,0.39,0.94
8,c5.9xlarge,1.98,7,1.02,0.23,0.39,0.96
9,c5.12xlarge,1.92,9,1.02,0.23,0.38,0.92
10,c4.8xlarge,1.82,6,1.03,0.24,0.34,0.99
11,c5.4xlarge,1.79,3,1.04,0.28,0.38,0.96
12,m5.xlarge,1.26,1,1.08,0.46,0.52,0.73
13,c4.4xlarge,1.13,2,1.06,0.35,0.26,0.72
14,c4.2xlarge,1.02,1,1.09,0.45,0.26,0.77
15,c5.2xlarge,0.97,1,1.09,0.46,0.26,0.73
