,node_size,max_executions,overhead_ratio_cpu,overhead_ratio_mem,util_ratio_cpu,util_ratio_mem,efficiency_metric
0,c5.24xlarge,31,0.52,0.27,0.98,0.82,4.95
1,m5.24xlarge,31,0.52,0.27,0.98,0.41,3.41
2,c5.18xlarge,23,0.53,0.27,0.98,0.81,4.83
3,m5.16xlarge,20,0.54,0.28,0.96,0.4,3.24
4,c5.12xlarge,15,0.55,0.28,0.97,0.8,4.59
5,m5.12xlarge,15,0.55,0.28,0.97,0.4,3.18
6,c4.8xlarge,11,0.57,0.3,0.96,0.95,4.9
7,c5.9xlarge,11,0.57,0.3,0.96,0.79,4.37
8,m5.8xlarge,10,0.57,0.3,0.98,0.41,3.07
9,c4.4xlarge,4,0.69,0.38,0.84,0.73,3.18
10,c5.4xlarge,4,0.69,0.38,0.84,0.69,3.06
11,m5.4xlarge,4,0.69,0.38,0.84,0.34,2.14
12,c4.2xlarge,2,0.88,0.5,0.94,0.8,2.67
13,c5.2xlarge,2,0.88,0.5,0.94,0.75,2.57
14,m5.2xlarge,2,0.88,0.5,0.94,0.38,1.82
15,c4.xlarge,0,1,1,0.38,0.27,0.64
16,c5.xlarge,0,1,1,0.38,0.25,0.62
17,m5.xlarge,0,1,1,0.38,0.12,0.5
