Instance,vCPU*,Mem (GiB),Storage,Dedicated EBS Bandwidth (Mbps),Network Performance
m5.xlarge,4,16,EBS-Only,Up to 10,"Up to 4,750"
m5.2xlarge,8,32,EBS-Only,Up to 10,"Up to 4,750"
m5.4xlarge,16,64,EBS-Only,Up to 10,"4,750"
m5.8xlarge,32,128,EBS Only,10,"6,800"
m5.12xlarge,48,192,EBS-Only,10,"9,500"
m5.16xlarge,64,256,EBS Only,20,"13,600"
m5.24xlarge,96,384,EBS-Only,25,"19,000"
c4.large,2,3.75,EBS-Only,500,Moderate
c4.xlarge,4,7.5,EBS-Only,750,High
c4.2xlarge,8,15,EBS-Only,"1,000",High
c4.4xlarge,16,30,EBS-Only,"2,000",High
c4.8xlarge,36,60,EBS-Only,"4,000",10 Gigabit
c5.large,2,4,EBS-Only,Up to 10,"Up to 4,750"
c5.xlarge,4,8,EBS-Only,Up to 10,"Up to 4,750"
c5.2xlarge,8,16,EBS-Only,Up to 10,"Up to 4,750"
c5.4xlarge,16,32,EBS-Only,Up to 10,"4,750"
c5.9xlarge,36,72,EBS-Only,10,"9,500"
c5.12xlarge,48,96,EBS-Only,12,"9,500"
c5.18xlarge,72,144,EBS-Only,25,"19,000"
c5.24xlarge,96,192,EBS-Only,25,"19,000"
